生薬名,structures_json,count
べラドンナコン,"[{""構造対象"": ""ℓ-ヒヨスチアミン（アトロピン）"", ""検索名"": ""atropine"", ""PubChem CID"": ""174174"", ""IUPACName"": ""[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate"", ""SMILES"": """", ""InChIKey"": ""RKUNBYITZUJHSG-PJPHBNEVSA-N"", ""MolecularFormula"": ""C17H23NO3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/174174"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""スコポラミン"", ""検索名"": ""scopolamine"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""alkaloid""]}]",2
アロエ（末）,"[{""構造対象"": ""バルバロイン"", ""検索名"": ""barbaloin"", ""PubChem CID"": ""12305761"", ""IUPACName"": ""(10S)-1,8-dihydroxy-3-(hydroxymethyl)-10-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-10H-anthracen-9-one"", ""SMILES"": """", ""InChIKey"": ""AFHJQYHRLPMKHU-OSYMLPPYSA-N"", ""MolecularFormula"": ""C21H22O9"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/12305761"", ""class_tags"": [""anthraquinone""]}]",1
ウイキョウ（末）,"[{""構造対象"": ""アネトール"", ""検索名"": ""anethole"", ""PubChem CID"": ""637563"", ""IUPACName"": ""1-methoxy-4-[(E)-prop-1-enyl]benzene"", ""SMILES"": """", ""InChIKey"": ""RUVINXPYWBROJD-ONEGZZNKSA-N"", ""MolecularFormula"": ""C10H12O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/637563"", ""class_tags"": [""phenylpropanoid""]}, {""構造対象"": ""エストラゴール"", ""検索名"": ""estragole"", ""PubChem CID"": ""8815"", ""IUPACName"": ""1-methoxy-4-prop-2-enylbenzene"", ""SMILES"": """", ""InChIKey"": ""ZFMSMUAANRJZFM-UHFFFAOYSA-N"", ""MolecularFormula"": ""C10H12O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/8815"", ""class_tags"": [""phenylpropanoid""]}]",2
ウワウルシ,"[{""構造対象"": ""アルブチン"", ""検索名"": ""arbutin"", ""PubChem CID"": ""440936"", ""IUPACName"": ""(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol"", ""SMILES"": """", ""InChIKey"": ""BJRNKVDFDLYUGJ-RMPHRYRLSA-N"", ""MolecularFormula"": ""C12H16O7"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/440936"", ""class_tags"": [""glycoside""]}, {""構造対象"": ""トリガロイルグルコース"", ""検索名"": ""trigalloyl glucose"", ""PubChem CID"": ""90116889"", ""IUPACName"": ""(3S,4S)-3,4-dihydroxy-3-(3,4,5-trihydroxybenzoyl)-1,5-bis(3,4,5-trihydroxyphenyl)-4-[(1R,2R)-1,2,3-trihydroxypropyl]pentane-1,2,5-trione"", ""SMILES"": """", ""InChIKey"": ""UHDJFCOJSFPKML-UOAHBSSISA-N"", ""MolecularFormula"": ""C27H24O18"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/90116889"", ""class_tags"": [""glycoside"", ""tannin""]}, {""構造対象"": ""テトラガロイルグルコース"", ""検索名"": ""tetragalloyl glucose"", ""PubChem CID"": ""5321843"", ""IUPACName"": ""[(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-4,5,6-tris[(3,4,5-trihydroxybenzoyl)oxy]oxan-3-yl] 3,4,5-trihydroxybenzoate"", ""SMILES"": """", ""InChIKey"": ""XFLTYUCKJRFDOU-XPMKZLBQSA-N"", ""MolecularFormula"": ""C34H28O22"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5321843"", ""class_tags"": [""glycoside"", ""tannin""]}]",3
オウギ,"[{""構造対象"": ""アストラガロシドIV"", ""検索名"": ""astragaloside IV"", ""PubChem CID"": ""13943297"", ""IUPACName"": ""(2R,3R,4S,5S,6R)-2-[[(1S,3R,6S,8R,9S,11S,12S,14S,15R,16R)-14-hydroxy-15-[(2R,5S)-5-(2-hydroxypropan-2-yl)-2-methyloxolan-2-yl]-7,7,12,16-tetramethyl-6-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxy-9-pentacyclo[9.7.0.01,3.03,8.012,16]octadecanyl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol"", ""SMILES"": """", ""InChIKey"": ""QMNWISYXSJWHRY-YLNUDOOFSA-N"", ""MolecularFormula"": ""C41H68O14"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/13943297"", ""class_tags"": [""glycoside"", ""saponin""]}, {""構造対象"": ""フォルモノネチン"", ""検索名"": ""formononetin"", ""PubChem CID"": ""5280378"", ""IUPACName"": ""7-hydroxy-3-(4-methoxyphenyl)chromen-4-one"", ""SMILES"": """", ""InChIKey"": ""HKQYGTCOTHHOMP-UHFFFAOYSA-N"", ""MolecularFormula"": ""C16H12O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5280378"", ""class_tags"": [""flavonoid""]}]",2
オウゴン（末）,"[{""構造対象"": ""バイカリン"", ""検索名"": ""baicalin"", ""PubChem CID"": ""64982"", ""IUPACName"": ""(2S,3S,4S,5R,6S)-6-(5,6-dihydroxy-4-oxo-2-phenylchromen-7-yl)oxy-3,4,5-trihydroxyoxane-2-carboxylic acid"", ""SMILES"": """", ""InChIKey"": ""IKIIZLYTISPENI-ZFORQUDYSA-N"", ""MolecularFormula"": ""C21H18O11"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/64982"", ""class_tags"": [""flavonoid""]}, {""構造対象"": ""オウゴニン"", ""検索名"": ""wogonin"", ""PubChem CID"": ""5281703"", ""IUPACName"": ""5,7-dihydroxy-8-methoxy-2-phenylchromen-4-one"", ""SMILES"": """", ""InChIKey"": ""XLTFNNCXVBYBSX-UHFFFAOYSA-N"", ""MolecularFormula"": ""C16H12O5"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281703"", ""class_tags"": [""flavonoid""]}]",2
オウバク（末）,"[{""構造対象"": ""ベルベリン"", ""検索名"": ""berberine"", ""PubChem CID"": ""2353"", ""IUPACName"": ""16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene"", ""SMILES"": """", ""InChIKey"": ""YBHILYKTIRIUTE-UHFFFAOYSA-N"", ""MolecularFormula"": ""C20H18NO4+"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/2353"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""パルマチン"", ""検索名"": ""palmatine"", ""PubChem CID"": ""19009"", ""IUPACName"": ""2,3,9,10-tetramethoxy-5,6-dihydroisoquinolino[2,1-b]isoquinolin-7-ium"", ""SMILES"": """", ""InChIKey"": ""QUCQEUCGKKTEBI-UHFFFAOYSA-N"", ""MolecularFormula"": ""C21H22NO4+"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/19009"", ""class_tags"": [""alkaloid""]}]",2
オウレン（末）,"[{""構造対象"": ""ベルベリン"", ""検索名"": ""berberine"", ""PubChem CID"": ""2353"", ""IUPACName"": ""16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene"", ""SMILES"": """", ""InChIKey"": ""YBHILYKTIRIUTE-UHFFFAOYSA-N"", ""MolecularFormula"": ""C20H18NO4+"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/2353"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""パルマチン"", ""検索名"": ""palmatine"", ""PubChem CID"": ""19009"", ""IUPACName"": ""2,3,9,10-tetramethoxy-5,6-dihydroisoquinolino[2,1-b]isoquinolin-7-ium"", ""SMILES"": """", ""InChIKey"": ""QUCQEUCGKKTEBI-UHFFFAOYSA-N"", ""MolecularFormula"": ""C21H22NO4+"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/19009"", ""class_tags"": [""alkaloid""]}]",2
オンジ（末）,"[{""構造対象"": ""オンジサポニン類"", ""検索名"": ""onjisaponin"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""saponin""]}]",1
カッコン,"[{""構造対象"": ""プエラリン"", ""検索名"": ""puerarin"", ""PubChem CID"": ""5281807"", ""IUPACName"": ""7-hydroxy-3-(4-hydroxyphenyl)-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one"", ""SMILES"": """", ""InChIKey"": ""HKEAFJYKMMKDOR-VPRICQMDSA-N"", ""MolecularFormula"": ""C21H20O9"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281807"", ""class_tags"": []}, {""構造対象"": ""ダイゼイン"", ""検索名"": ""daidzein"", ""PubChem CID"": ""5281708"", ""IUPACName"": ""7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one"", ""SMILES"": """", ""InChIKey"": ""ZQSIJRDFPHDXIC-UHFFFAOYSA-N"", ""MolecularFormula"": ""C15H10O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281708"", ""class_tags"": [""flavonoid""]}, {""構造対象"": ""タイジン"", ""検索名"": ""daidzin"", ""PubChem CID"": ""107971"", ""IUPACName"": ""3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"", ""SMILES"": """", ""InChIKey"": ""KYQZWONCHDNPDP-QNDFHXLGSA-N"", ""MolecularFormula"": ""C21H20O9"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/107971"", ""class_tags"": [""flavonoid"", ""glycoside""]}]",3
